Number,Date,End Time,Avg. Volt,Max. Amp,Max. Time,Avg. Amp,KW Hours,Max. KW,Max. Time,Avg. KW,Avg. KVA,Avg. PF,Avg. KVAR,Avg. Volt,Max. Amp,Max. Time,Avg. Amp,KW Hours,Max. KW,Max. Time,Avg. KW,Avg. KVA,Avg. PF,Avg. KVAR,Avg. Volt,Max. Amp,Max. Time,Avg. Amp,KW Hours,Max. KW,Max. Time,Avg. KW,Avg. KVA,Avg. PF,Avg. KVAR,Avg. Amp,KW Hours,Max. KW,Max. Time,Avg. KW,net(kW-H)-1,net(kW-H)-2,net(kW-H)-3,net(kW-H)-5,Net kW-H,Counts
,,,L3 Phase,L3 Phase,3 Phase System Total,3 Phase System Total,3 Phase System Total,3 Phase System Total,3 Phase System Total,3 Phase System Total,L3 Phase,L3 Phase,L3 Phase,L3 Phase,L3 Phase,3 Phase System Total,3 Phase System Total,3 Phase System Total,3 Phase System Total,3 Phase System Total,3 Phase System Total,L3 Phase,L3 Phase,L3 Phase,L3 Phase,L3 Phase,3 Phase System Total,3 Phase System Total,3 Phase System Total,3 Phase System Total,3 Phase System Total,3 Phase System Total,L3 Phase,L3 Phase,L3 Phase,3 Phase System Total,3 Phase System Total,3 Phase System Total,3 Phase System Total,3 Phase System Total,0,7.409,68.628,32.506,108.543,1060
15795,7/25/2016,11:05:00,120.821,13.83,11:02:35,1.59,0.001,-0.539,11:02:35,0.014,0.201,0.96,0.056,120.821,13.83,11:02:35,1.59,0.001,-0.539,11:02:35,0.014,0.201,0.96,0.056,120.821,13.83,11:02:35,1.59,0.001,-0.539,11:02:35,0.014,0.201,0.96,0.056,1.59,0.001,-0.539,11:02:35,0.014,0,0,0.015,0,0.015,1
15797,7/25/2016,11:15:00,120.738,5.31,11:10:48,0.3,0.001,-0.787,11:10:48,0.007,0.047,0.45,0.029,120.738,5.31,11:10:48,0.3,0.001,-0.787,11:10:48,0.007,0.047,0.45,0.029,120.738,5.31,11:10:48,0.3,0.001,-0.787,11:10:48,0.007,0.047,0.45,0.029,0.3,0.001,-0.787,11:10:48,0.007,0,0.002,0,0,0.002,1
15803,7/25/2016,11:45:00,120.203,11.02,11:42:42,1.22,0.002,0.921,11:42:42,0.02,0.167,0.91,0.058,120.203,11.02,11:42:42,1.22,0.002,0.921,11:42:42,0.02,0.167,0.91,0.058,120.203,11.02,11:42:42,1.22,0.002,0.921,11:42:42,0.02,0.167,0.91,0.058,1.22,0.002,0.921,11:42:42,0.02,0,0,0.011,0.002,0.013,1
15805,7/25/2016,11:55:00,120.014,11.29,11:50:06,9.77,0.009,-0.562,11:50:06,0.106,1.236,0.97,0.299,120.014,11.29,11:50:06,9.77,0.009,-0.562,11:50:06,0.106,1.236,0.97,0.299,120.014,11.29,11:50:06,9.77,0.009,-0.562,11:50:06,0.106,1.236,0.97,0.299,9.77,0.009,-0.562,11:50:06,0.106,0,0,0.1,0.009,0.109,1
15806,7/25/2016,12:00:00,120.05,22.3,11:55:30,0.85,0.002,2.343,11:55:30,0.019,0.121,0.98,0.022,120.05,22.3,11:55:30,0.85,0.002,2.343,11:55:30,0.019,0.121,0.98,0.022,120.05,22.3,11:55:30,0.85,0.002,2.343,11:55:30,0.019,0.121,0.98,0.022,0.85,0.002,2.343,11:55:30,0.019,0,0,0.009,0.002,0.011,1
15816,7/25/2016,12:50:00,120.493,11.07,12:45:14,4.52,0.005,-1.837,12:45:14,0.058,0.584,0.97,0.141,120.493,11.07,12:45:14,4.52,0.005,-1.837,12:45:14,0.058,0.584,0.97,0.141,120.493,11.07,12:45:14,4.52,0.005,-1.837,12:45:14,0.058,0.584,0.97,0.141,4.52,0.005,-1.837,12:45:14,0.058,0,0,0.046,0.005,0.051,1
15819,7/25/2016,13:05:00,120.136,31.69,13:02:17,5.94,0.006,3.177,13:02:17,0.069,0.757,0.97,0.18,120.136,31.69,13:02:17,5.94,0.006,3.177,13:02:17,0.069,0.757,0.97,0.18,120.136,31.69,13:02:17,5.94,0.006,3.177,13:02:17,0.069,0.757,0.97,0.18,5.94,0.006,3.177,13:02:17,0.069,0,0,0.06,0.006,0.066,1
15820,7/25/2016,13:10:00,120.045,11.27,13:08:03,10.49,0.009,0.12,13:08:03,0.107,1.321,0.97,0.306,120.045,11.27,13:08:03,10.49,0.009,0.12,13:08:03,0.107,1.321,0.97,0.306,120.045,11.27,13:08:03,10.49,0.009,0.12,13:08:03,0.107,1.321,0.97,0.306,10.49,0.009,0.12,13:08:03,0.107,0,0,0.107,0.009,0.116,1
15821,7/25/2016,13:15:00,119.936,13.02,13:14:17,10.46,0.01,0.356,13:14:17,0.121,1.324,0.97,0.316,119.936,13.02,13:14:17,10.46,0.01,0.356,13:14:17,0.121,1.324,0.97,0.316,119.936,13.02,13:14:17,10.46,0.01,0.356,13:14:17,0.121,1.324,0.97,0.316,10.46,0.01,0.356,13:14:17,0.121,0,0,0.107,0.01,0.117,1
15822,7/25/2016,13:20:00,119.901,12.32,13:18:39,10.99,0.022,0.27,13:18:39,0.258,1.457,0.96,0.401,119.901,12.32,13:18:39,10.99,0.022,0.27,13:18:39,0.258,1.457,0.96,0.401,119.901,12.32,13:18:39,10.99,0.022,0.27,13:18:39,0.258,1.457,0.96,0.401,10.99,0.022,0.27,13:18:39,0.258,0,0,0.117,0.022,0.139,1
15823,7/25/2016,13:25:00,119.953,12.44,13:23:12,10.96,0.022,0.283,13:23:12,0.266,1.456,0.96,0.399,119.953,12.44,13:23:12,10.96,0.022,0.283,13:23:12,0.266,1.456,0.96,0.399,119.953,12.44,13:23:12,10.96,0.022,0.283,13:23:12,0.266,1.456,0.96,0.399,10.96,0.022,0.283,13:23:12,0.266,0,0,0.117,0.022,0.139,1
15824,7/25/2016,13:30:00,120.362,12.3,13:25:34,10.95,0.023,0.284,13:25:34,0.272,1.462,0.96,0.403,120.362,12.3,13:25:34,10.95,0.023,0.284,13:25:34,0.272,1.462,0.96,0.403,120.362,12.3,13:25:34,10.95,0.023,0.284,13:25:34,0.272,1.462,0.96,0.403,10.95,0.023,0.284,13:25:34,0.272,0,0,0.117,0.023,0.14,1
15825,7/25/2016,13:35:00,120.345,12.67,13:33:31,10.92,0.022,0.291,13:33:31,0.267,1.458,0.96,0.401,120.345,12.67,13:33:31,10.92,0.022,0.291,13:33:31,0.267,1.458,0.96,0.401,120.345,12.67,13:33:31,10.92,0.022,0.291,13:33:31,0.267,1.458,0.96,0.401,10.92,0.022,0.291,13:33:31,0.267,0,0,0.117,0.022,0.139,1
15826,7/25/2016,13:40:00,120.157,12.22,13:37:21,10.88,0.022,0.275,13:37:21,0.261,1.449,0.96,0.399,120.157,12.22,13:37:21,10.88,0.022,0.275,13:37:21,0.261,1.449,0.96,0.399,120.157,12.22,13:37:21,10.88,0.022,0.275,13:37:21,0.261,1.449,0.96,0.399,10.88,0.022,0.275,13:37:21,0.261,0,0,0.116,0.022,0.138,1
15827,7/25/2016,13:45:00,120.178,12.19,13:44:05,10.85,0.021,0.273,13:44:05,0.257,1.445,0.96,0.4,120.178,12.19,13:44:05,10.85,0.021,0.273,13:44:05,0.257,1.445,0.96,0.4,120.178,12.19,13:44:05,10.85,0.021,0.273,13:44:05,0.257,1.445,0.96,0.4,10.85,0.021,0.273,13:44:05,0.257,0,0,0.116,0.021,0.137,1
15828,7/25/2016,13:50:00,120.249,12.18,13:49:52,10.84,0.021,0.268,13:49:52,0.254,1.443,0.96,0.4,120.249,12.18,13:49:52,10.84,0.021,0.268,13:49:52,0.254,1.443,0.96,0.4,120.249,12.18,13:49:52,10.84,0.021,0.268,13:49:52,0.254,1.443,0.96,0.4,10.84,0.021,0.268,13:49:52,0.254,0,0,0.116,0.021,0.137,1
15829,7/25/2016,13:55:00,120.402,12.19,13:52:53,10.84,0.022,0.276,13:52:53,0.261,1.447,0.96,0.401,120.402,12.19,13:52:53,10.84,0.022,0.276,13:52:53,0.261,1.447,0.96,0.401,120.402,12.19,13:52:53,10.84,0.022,0.276,13:52:53,0.261,1.447,0.96,0.401,10.84,0.022,0.276,13:52:53,0.261,0,0,0.116,0.022,0.138,1
15830,7/25/2016,14:00:00,120.499,12.13,13:55:12,10.83,0.022,0.276,13:55:12,0.262,1.447,0.96,0.402,120.499,12.13,13:55:12,10.83,0.022,0.276,13:55:12,0.262,1.447,0.96,0.402,120.499,12.13,13:55:12,10.83,0.022,0.276,13:55:12,0.262,1.447,0.96,0.402,10.83,0.022,0.276,13:55:12,0.262,0,0,0.116,0.022,0.138,1
15831,7/25/2016,14:05:00,120.5,12.18,14:02:55,10.82,0.022,0.279,14:02:55,0.258,1.445,0.96,0.402,120.5,12.18,14:02:55,10.82,0.022,0.279,14:02:55,0.258,1.445,0.96,0.402,120.5,12.18,14:02:55,10.82,0.022,0.279,14:02:55,0.258,1.445,0.96,0.402,10.82,0.022,0.279,14:02:55,0.258,0,0,0.116,0.022,0.138,1
15832,7/25/2016,14:10:00,120.48,12.13,14:09:35,10.8,0.022,0.27,14:09:35,0.258,1.443,0.96,0.401,120.48,12.13,14:09:35,10.8,0.022,0.27,14:09:35,0.258,1.443,0.96,0.401,120.48,12.13,14:09:35,10.8,0.022,0.27,14:09:35,0.258,1.443,0.96,0.401,10.8,0.022,0.27,14:09:35,0.258,0,0,0.116,0.022,0.138,1
15833,7/25/2016,14:15:00,120.428,12.11,14:14:53,10.78,0.022,0.275,14:14:53,0.263,1.441,0.96,0.401,120.428,12.11,14:14:53,10.78,0.022,0.275,14:14:53,0.263,1.441,0.96,0.401,120.428,12.11,14:14:53,10.78,0.022,0.275,14:14:53,0.263,1.441,0.96,0.401,10.78,0.022,0.275,14:14:53,0.263,0,0,0.115,0.022,0.137,1
15834,7/25/2016,14:20:00,120.437,12.06,14:17:49,10.77,0.022,0.271,14:17:49,0.258,1.439,0.96,0.401,120.437,12.06,14:17:49,10.77,0.022,0.271,14:17:49,0.258,1.439,0.96,0.401,120.437,12.06,14:17:49,10.77,0.022,0.271,14:17:49,0.258,1.439,0.96,0.401,10.77,0.022,0.271,14:17:49,0.258,0,0,0.115,0.022,0.137,1
15835,7/25/2016,14:25:00,120.13,12.04,14:21:48,10.74,0.021,0.268,14:21:48,0.256,1.431,0.96,0.399,120.13,12.04,14:21:48,10.74,0.021,0.268,14:21:48,0.256,1.431,0.96,0.399,120.13,12.04,14:21:48,10.74,0.021,0.268,14:21:48,0.256,1.431,0.96,0.399,10.74,0.021,0.268,14:21:48,0.256,0,0,0.114,0.021,0.135,1
15836,7/25/2016,14:30:00,120.085,12.03,14:27:30,10.73,0.021,0.269,14:27:30,0.255,1.428,0.96,0.398,120.085,12.03,14:27:30,10.73,0.021,0.269,14:27:30,0.255,1.428,0.96,0.398,120.085,12.03,14:27:30,10.73,0.021,0.269,14:27:30,0.255,1.428,0.96,0.398,10.73,0.021,0.269,14:27:30,0.255,0,0,0.114,0.021,0.135,1
15837,7/25/2016,14:35:00,120.158,12.11,14:34:44,10.72,0.021,0.267,14:34:44,0.258,1.43,0.96,0.399,120.158,12.11,14:34:44,10.72,0.021,0.267,14:34:44,0.258,1.43,0.96,0.399,120.158,12.11,14:34:44,10.72,0.021,0.267,14:34:44,0.258,1.43,0.96,0.399,10.72,0.021,0.267,14:34:44,0.258,0,0,0.114,0.021,0.135,1
15838,7/25/2016,14:40:00,120.137,12.01,14:39:06,10.71,0.022,0.287,14:39:06,0.26,1.429,0.96,0.399,120.137,12.01,14:39:06,10.71,0.022,0.287,14:39:06,0.26,1.429,0.96,0.399,120.137,12.01,14:39:06,10.71,0.022,0.287,14:39:06,0.26,1.429,0.96,0.399,10.71,0.022,0.287,14:39:06,0.26,0,0,0.114,0.022,0.136,1
15839,7/25/2016,14:45:00,120.081,11.98,14:40:38,10.7,0.021,0.265,14:40:38,0.254,1.425,0.96,0.398,120.081,11.98,14:40:38,10.7,0.021,0.265,14:40:38,0.254,1.425,0.96,0.398,120.081,11.98,14:40:38,10.7,0.021,0.265,14:40:38,0.254,1.425,0.96,0.398,10.7,0.021,0.265,14:40:38,0.254,0,0,0.114,0.021,0.135,1
15840,7/25/2016,14:50:00,120.103,11.96,14:49:05,10.7,0.021,0.267,14:49:05,0.256,1.425,0.96,0.398,120.103,11.96,14:49:05,10.7,0.021,0.267,14:49:05,0.256,1.425,0.96,0.398,120.103,11.96,14:49:05,10.7,0.021,0.267,14:49:05,0.256,1.425,0.96,0.398,10.7,0.021,0.267,14:49:05,0.256,0,0,0.114,0.021,0.135,1
15841,7/25/2016,14:55:00,120.006,12,14:54:41,10.68,0.021,0.269,14:54:41,0.257,1.422,0.96,0.397,120.006,12,14:54:41,10.68,0.021,0.269,14:54:41,0.257,1.422,0.96,0.397,120.006,12,14:54:41,10.68,0.021,0.269,14:54:41,0.257,1.422,0.96,0.397,10.68,0.021,0.269,14:54:41,0.257,0,0,0.114,0.021,0.135,1
15842,7/25/2016,15:00:00,120.006,12.45,14:55:58,10.67,0.022,0.325,14:55:58,0.26,1.422,0.96,0.398,120.006,12.45,14:55:58,10.67,0.022,0.325,14:55:58,0.26,1.422,0.96,0.398,120.006,12.45,14:55:58,10.67,0.022,0.325,14:55:58,0.26,1.422,0.96,0.398,10.67,0.022,0.325,14:55:58,0.26,0,0,0.114,0.022,0.136,1
15843,7/25/2016,15:05:00,120.123,12.02,15:00:01,9.63,0.005,0.277,15:00:01,0.058,1.201,0.97,0.28,120.123,12.02,15:00:01,9.63,0.005,0.277,15:00:01,0.058,1.201,0.97,0.28,120.123,12.02,15:00:01,9.63,0.005,0.277,15:00:01,0.058,1.201,0.97,0.28,9.63,0.005,0.277,15:00:01,0.058,0,0,0.097,0.005,0.102,1
15844,7/25/2016,15:10:00,120.116,8.46,15:09:28,8.69,-0.01,-0.136,15:09:28,-0.121,1.002,0.98,0.174,120.116,8.46,15:09:28,8.69,-0.01,-0.136,15:09:28,-0.121,1.002,0.98,0.174,120.116,8.46,15:09:28,8.69,-0.01,-0.136,15:09:28,-0.121,1.002,0.98,0.174,8.69,-0.01,-0.136,15:09:28,-0.121,0,0,0.082,0,0.082,1
15845,7/25/2016,15:15:00,119.995,8.51,15:11:39,8.68,-0.01,-0.132,15:11:39,-0.119,1,0.98,0.173,119.995,8.51,15:11:39,8.68,-0.01,-0.132,15:11:39,-0.119,1,0.98,0.173,119.995,8.51,15:11:39,8.68,-0.01,-0.132,15:11:39,-0.119,1,0.98,0.173,8.68,-0.01,-0.132,15:11:39,-0.119,0,0,0.082,0,0.082,1
15846,7/25/2016,15:20:00,119.939,8.43,15:19:39,8.67,-0.01,-0.129,15:19:39,-0.117,0.999,0.98,0.173,119.939,8.43,15:19:39,8.67,-0.01,-0.129,15:19:39,-0.117,0.999,0.98,0.173,119.939,8.43,15:19:39,8.67,-0.01,-0.129,15:19:39,-0.117,0.999,0.98,0.173,8.67,-0.01,-0.129,15:19:39,-0.117,0,0,0.082,0,0.082,1
15847,7/25/2016,15:25:00,119.979,8.59,15:23:02,8.67,-0.01,-0.13,15:23:02,-0.121,0.998,0.98,0.173,119.979,8.59,15:23:02,8.67,-0.01,-0.13,15:23:02,-0.121,0.998,0.98,0.173,119.979,8.59,15:23:02,8.67,-0.01,-0.13,15:23:02,-0.121,0.998,0.98,0.173,8.67,-0.01,-0.13,15:23:02,-0.121,0,0,0.082,0,0.082,1
15848,7/25/2016,15:30:00,119.926,8.41,15:27:59,8.66,-0.01,-0.131,15:27:59,-0.12,0.997,0.98,0.173,119.926,8.41,15:27:59,8.66,-0.01,-0.131,15:27:59,-0.12,0.997,0.98,0.173,119.926,8.41,15:27:59,8.66,-0.01,-0.131,15:27:59,-0.12,0.997,0.98,0.173,8.66,-0.01,-0.131,15:27:59,-0.12,0,0,0.082,0,0.082,1
15849,7/25/2016,15:35:00,119.982,8.41,15:31:03,8.66,-0.01,-0.139,15:31:03,-0.12,0.998,0.98,0.173,119.982,8.41,15:31:03,8.66,-0.01,-0.139,15:31:03,-0.12,0.998,0.98,0.173,119.982,8.41,15:31:03,8.66,-0.01,-0.139,15:31:03,-0.12,0.998,0.98,0.173,8.66,-0.01,-0.139,15:31:03,-0.12,0,0,0.082,0,0.082,1
15850,7/25/2016,15:40:00,120.445,8.42,15:39:56,8.48,-0.009,0.217,15:39:56,-0.108,0.985,0.98,0.182,120.445,8.42,15:39:56,8.48,-0.009,0.217,15:39:56,-0.108,0.985,0.98,0.182,120.445,8.42,15:39:56,8.48,-0.009,0.217,15:39:56,-0.108,0.985,0.98,0.182,8.48,-0.009,0.217,15:39:56,-0.108,0,0,0.08,0,0.08,1
15851,7/25/2016,15:45:00,120.489,8.42,15:42:56,5.22,0.006,0.73,15:42:56,0.076,0.67,0.89,0.282,120.489,8.42,15:42:56,5.22,0.006,0.73,15:42:56,0.076,0.67,0.89,0.282,120.489,8.42,15:42:56,5.22,0.006,0.73,15:42:56,0.076,0.67,0.89,0.282,5.22,0.006,0.73,15:42:56,0.076,0,0,0.046,0.006,0.052,1
15852,7/25/2016,15:50:00,120.668,8.49,15:48:56,4.66,0.009,0.712,15:48:56,0.108,0.616,0.85,0.299,120.668,8.49,15:48:56,4.66,0.009,0.712,15:48:56,0.108,0.616,0.85,0.299,120.668,8.49,15:48:56,4.66,0.009,0.712,15:48:56,0.108,0.616,0.85,0.299,4.66,0.009,0.712,15:48:56,0.108,0,0.004,0.04,0.009,0.053,1
15853,7/25/2016,15:55:00,120.642,8.51,15:54:41,4.89,0.008,0.414,15:54:41,0.095,0.639,0.87,0.292,120.642,8.51,15:54:41,4.89,0.008,0.414,15:54:41,0.095,0.639,0.87,0.292,120.642,8.51,15:54:41,4.89,0.008,0.414,15:54:41,0.095,0.639,0.87,0.292,4.89,0.008,0.414,15:54:41,0.095,0,0.002,0.043,0.008,0.053,1
15854,7/25/2016,16:00:00,120.676,12.02,15:57:09,6.44,0.027,0.62,15:57:09,0.325,0.952,0.88,0.427,120.676,12.02,15:57:09,6.44,0.027,0.62,15:57:09,0.325,0.952,0.88,0.427,120.676,12.02,15:57:09,6.44,0.027,0.62,15:57:09,0.325,0.952,0.88,0.427,6.44,0.027,0.62,15:57:09,0.325,0,0,0.068,0.027,0.095,1
15855,7/25/2016,16:05:00,120.832,11.95,16:00:20,7.28,0.038,0.707,16:00:20,0.453,1.116,0.89,0.506,120.832,11.95,16:00:20,7.28,0.038,0.707,16:00:20,0.453,1.116,0.89,0.506,120.832,11.95,16:00:20,7.28,0.038,0.707,16:00:20,0.453,1.116,0.89,0.506,7.28,0.038,0.707,16:00:20,0.453,0,0,0.08,0.038,0.118,1
15856,7/25/2016,16:10:00,120.97,11.98,16:05:46,7.15,0.039,0.613,16:05:46,0.463,1.106,0.88,0.511,120.97,11.98,16:05:46,7.15,0.039,0.613,16:05:46,0.463,1.106,0.88,0.511,120.97,11.98,16:05:46,7.15,0.039,0.613,16:05:46,0.463,1.106,0.88,0.511,7.15,0.039,0.613,16:05:46,0.463,0,0,0.079,0.039,0.118,1
15857,7/25/2016,16:15:00,121.186,12,16:14:39,6.95,0.04,0.618,16:14:39,0.477,1.09,0.87,0.52,121.186,12,16:14:39,6.95,0.04,0.618,16:14:39,0.477,1.09,0.87,0.52,121.186,12,16:14:39,6.95,0.04,0.618,16:14:39,0.477,1.09,0.87,0.52,6.95,0.04,0.618,16:14:39,0.477,0,0,0.077,0.04,0.117,1
15858,7/25/2016,16:20:00,121.295,12.16,16:16:39,6.85,0.04,0.638,16:16:39,0.485,1.083,0.87,0.524,121.295,12.16,16:16:39,6.85,0.04,0.638,16:16:39,0.485,1.083,0.87,0.524,121.295,12.16,16:16:39,6.85,0.04,0.638,16:16:39,0.485,1.083,0.87,0.524,6.85,0.04,0.638,16:16:39,0.485,0,0.002,0.076,0.04,0.118,1
15859,7/25/2016,16:25:00,121.309,12.1,16:21:58,6.93,0.04,0.696,16:21:58,0.482,1.091,0.87,0.522,121.309,12.1,16:21:58,6.93,0.04,0.696,16:21:58,0.482,1.091,0.87,0.522,121.309,12.1,16:21:58,6.93,0.04,0.696,16:21:58,0.482,1.091,0.87,0.522,6.93,0.04,0.696,16:21:58,0.482,0,0,0.077,0.04,0.117,1
15860,7/25/2016,16:30:00,121.378,12.04,16:27:25,6.82,0.041,1.043,16:27:25,0.489,1.081,0.87,0.526,121.378,12.04,16:27:25,6.82,0.041,1.043,16:27:25,0.489,1.081,0.87,0.526,121.378,12.04,16:27:25,6.82,0.041,1.043,16:27:25,0.489,1.081,0.87,0.526,6.82,0.041,1.043,16:27:25,0.489,0,0.002,0.076,0.041,0.119,1
15861,7/25/2016,16:35:00,121.444,12.04,16:32:36,6.66,0.041,1.111,16:32:36,0.498,1.067,0.86,0.532,121.444,12.04,16:32:36,6.66,0.041,1.111,16:32:36,0.498,1.067,0.86,0.532,121.444,12.04,16:32:36,6.66,0.041,1.111,16:32:36,0.498,1.067,0.86,0.532,6.66,0.041,1.111,16:32:36,0.498,0,0.003,0.074,0.041,0.118,1
15862,7/25/2016,16:40:00,121.615,12.05,16:38:03,6.77,0.041,0.819,16:38:03,0.494,1.08,0.86,0.53,121.615,12.05,16:38:03,6.77,0.041,0.819,16:38:03,0.494,1.08,0.86,0.53,121.615,12.05,16:38:03,6.77,0.041,0.819,16:38:03,0.494,1.08,0.86,0.53,6.77,0.041,0.819,16:38:03,0.494,0,0.003,0.076,0.041,0.12,1
15863,7/25/2016,16:45:00,121.725,12.06,16:42:19,6.46,0.043,0.623,16:42:19,0.51,1.051,0.85,0.541,121.725,12.06,16:42:19,6.46,0.043,0.623,16:42:19,0.51,1.051,0.85,0.541,121.725,12.06,16:42:19,6.46,0.043,0.623,16:42:19,0.51,1.051,0.85,0.541,6.46,0.043,0.623,16:42:19,0.51,0,0.005,0.072,0.043,0.12,1
15864,7/25/2016,16:50:00,121.767,12.06,16:48:43,6.15,0.044,0.625,16:48:43,0.529,1.023,0.83,0.552,121.767,12.06,16:48:43,6.15,0.044,0.625,16:48:43,0.529,1.023,0.83,0.552,121.767,12.06,16:48:43,6.15,0.044,0.625,16:48:43,0.529,1.023,0.83,0.552,6.15,0.044,0.625,16:48:43,0.529,0,0.007,0.069,0.044,0.12,1
15865,7/25/2016,16:55:00,121.86,12.06,16:51:03,6.13,0.044,0.625,16:51:03,0.531,1.022,0.83,0.553,121.86,12.06,16:51:03,6.13,0.044,0.625,16:51:03,0.531,1.022,0.83,0.553,121.86,12.06,16:51:03,6.13,0.044,0.625,16:51:03,0.531,1.022,0.83,0.553,6.13,0.044,0.625,16:51:03,0.531,0,0.008,0.069,0.044,0.121,1
15866,7/25/2016,17:00:00,121.979,12.11,16:59:56,6.03,0.045,0.679,16:59:56,0.54,1.014,0.83,0.557,121.979,12.11,16:59:56,6.03,0.045,0.679,16:59:56,0.54,1.014,0.83,0.557,121.979,12.11,16:59:56,6.03,0.045,0.679,16:59:56,0.54,1.014,0.83,0.557,6.03,0.045,0.679,16:59:56,0.54,0,0.008,0.068,0.045,0.121,1
15867,7/25/2016,17:05:00,122.83,12.13,17:04:29,6.25,0.045,0.638,17:04:29,0.538,1.045,0.83,0.562,122.83,12.13,17:04:29,6.25,0.045,0.638,17:04:29,0.538,1.045,0.83,0.562,122.83,12.13,17:04:29,6.25,0.045,0.638,17:04:29,0.538,1.045,0.83,0.562,6.25,0.045,0.638,17:04:29,0.538,0,0.007,0.071,0.045,0.123,1
15868,7/25/2016,17:10:00,122.762,12.16,17:05:52,6.5,0.044,1.114,17:05:52,0.523,1.068,0.85,0.554,122.762,12.16,17:05:52,6.5,0.044,1.114,17:05:52,0.523,1.068,0.85,0.554,122.762,12.16,17:05:52,6.5,0.044,1.114,17:05:52,0.523,1.068,0.85,0.554,6.5,0.044,1.114,17:05:52,0.523,0,0.005,0.073,0.044,0.122,1
15869,7/25/2016,17:15:00,122.757,12.14,17:11:06,6.88,0.042,1.396,17:11:06,0.5,1.104,0.86,0.542,122.757,12.14,17:11:06,6.88,0.042,1.396,17:11:06,0.5,1.104,0.86,0.542,122.757,12.14,17:11:06,6.88,0.042,1.396,17:11:06,0.5,1.104,0.86,0.542,6.88,0.042,1.396,17:11:06,0.5,0,0.003,0.077,0.042,0.122,1
15870,7/25/2016,17:20:00,122.727,12.15,17:16:15,6.77,0.042,0.964,17:16:15,0.504,1.092,0.86,0.545,122.727,12.15,17:16:15,6.77,0.042,0.964,17:16:15,0.504,1.092,0.86,0.545,122.727,12.15,17:16:15,6.77,0.042,0.964,17:16:15,0.504,1.092,0.86,0.545,6.77,0.042,0.964,17:16:15,0.504,0,0.003,0.076,0.042,0.121,1
15871,7/25/2016,17:25:00,122.641,12.16,17:21:53,6.68,0.042,0.815,17:21:53,0.508,1.084,0.86,0.547,122.641,12.16,17:21:53,6.68,0.042,0.815,17:21:53,0.508,1.084,0.86,0.547,122.641,12.16,17:21:53,6.68,0.042,0.815,17:21:53,0.508,1.084,0.86,0.547,6.68,0.042,0.815,17:21:53,0.508,0,0.004,0.075,0.042,0.121,1
15872,7/25/2016,17:30:00,122.842,12.15,17:26:12,6.53,0.044,0.639,17:26:12,0.523,1.072,0.85,0.554,122.842,12.15,17:26:12,6.53,0.044,0.639,17:26:12,0.523,1.072,0.85,0.554,122.842,12.15,17:26:12,6.53,0.044,0.639,17:26:12,0.523,1.072,0.85,0.554,6.53,0.044,0.639,17:26:12,0.523,0,0.005,0.074,0.044,0.123,1
15873,7/25/2016,17:35:00,122.88,12.16,17:34:42,6.53,0.043,0.636,17:34:42,0.521,1.072,0.85,0.555,122.88,12.16,17:34:42,6.53,0.043,0.636,17:34:42,0.521,1.072,0.85,0.555,122.88,12.16,17:34:42,6.53,0.043,0.636,17:34:42,0.521,1.072,0.85,0.555,6.53,0.043,0.636,17:34:42,0.521,0,0.005,0.074,0.043,0.122,1
15874,7/25/2016,17:40:00,123.2,12.18,17:37:05,6.41,0.044,0.639,17:37:05,0.531,1.065,0.84,0.562,123.2,12.18,17:37:05,6.41,0.044,0.639,17:37:05,0.531,1.065,0.84,0.562,123.2,12.18,17:37:05,6.41,0.044,0.639,17:37:05,0.531,1.065,0.84,0.562,6.41,0.044,0.639,17:37:05,0.531,0,0.006,0.073,0.044,0.123,1
15875,7/25/2016,17:45:00,122.978,12.19,17:43:27,6.58,0.043,0.675,17:43:27,0.518,1.078,0.85,0.554,122.978,12.19,17:43:27,6.58,0.043,0.675,17:43:27,0.518,1.078,0.85,0.554,122.978,12.19,17:43:27,6.58,0.043,0.675,17:43:27,0.518,1.078,0.85,0.554,6.58,0.043,0.675,17:43:27,0.518,0,0.005,0.074,0.043,0.122,1
15876,7/25/2016,17:50:00,123.166,12.19,17:48:56,6.05,0.046,1.092,17:48:56,0.555,1.031,0.82,0.573,123.166,12.19,17:48:56,6.05,0.046,1.092,17:48:56,0.555,1.031,0.82,0.573,123.166,12.19,17:48:56,6.05,0.046,1.092,17:48:56,0.555,1.031,0.82,0.573,6.05,0.046,1.092,17:48:56,0.555,0,0.009,0.069,0.046,0.124,1
15877,7/25/2016,17:55:00,123.193,12.18,17:53:59,6.45,0.044,1.286,17:53:59,0.533,1.069,0.84,0.56,123.193,12.18,17:53:59,6.45,0.044,1.286,17:53:59,0.533,1.069,0.84,0.56,123.193,12.18,17:53:59,6.45,0.044,1.286,17:53:59,0.533,1.069,0.84,0.56,6.45,0.044,1.286,17:53:59,0.533,0,0.006,0.073,0.044,0.123,1
15878,7/25/2016,18:00:00,123.145,12.16,17:59:10,6.44,0.044,0.824,17:59:10,0.529,1.067,0.84,0.56,123.145,12.16,17:59:10,6.44,0.044,0.824,17:59:10,0.529,1.067,0.84,0.56,123.145,12.16,17:59:10,6.44,0.044,0.824,17:59:10,0.529,1.067,0.84,0.56,6.44,0.044,0.824,17:59:10,0.529,0,0.006,0.073,0.044,0.123,1
